#TYPE Selected.Microsoft.ActiveDirectory.Management.ADObject
"objectclass","name","distinguishedname"
"container","c4f17608-e611-11d6-9793-00c04f613221","CN=c4f17608-e611-11d6-9793-00c04f613221,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","13d15cf0-e6c8-11d6-9793-00c04f613221","CN=13d15cf0-e6c8-11d6-9793-00c04f613221,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","8ddf6913-1c7b-4c59-a5af-b9ca3b3d2c4c","CN=8ddf6913-1c7b-4c59-a5af-b9ca3b3d2c4c,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","dda1d01d-4bd7-4c49-a184-46f9241b560e","CN=dda1d01d-4bd7-4c49-a184-46f9241b560e,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","a1789bfb-e0a2-4739-8cc0-e77d892d080a","CN=a1789bfb-e0a2-4739-8cc0-e77d892d080a,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","61b34cb0-55ee-4be9-b595-97810b92b017","CN=61b34cb0-55ee-4be9-b595-97810b92b017,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","57428d75-bef7-43e1-938b-2e749f5a8d56","CN=57428d75-bef7-43e1-938b-2e749f5a8d56,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","ebad865a-d649-416f-9922-456b53bbb5b8","CN=ebad865a-d649-416f-9922-456b53bbb5b8,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","0b7fb422-3609-4587-8c2e-94b10f67d1bf","CN=0b7fb422-3609-4587-8c2e-94b10f67d1bf,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","2951353e-d102-4ea5-906c-54247eeec741","CN=2951353e-d102-4ea5-906c-54247eeec741,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","71482d49-8870-4cb3-a438-b6fc9ec35d70","CN=71482d49-8870-4cb3-a438-b6fc9ec35d70,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","aed72870-bf16-4788-8ac7-22299c8207f1","CN=aed72870-bf16-4788-8ac7-22299c8207f1,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","f58300d1-b71a-4DB6-88a1-a8b9538beaca","CN=f58300d1-b71a-4DB6-88a1-a8b9538beaca,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","231fb90b-c92a-40c9-9379-bacfc313a3e3","CN=231fb90b-c92a-40c9-9379-bacfc313a3e3,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","4aaabc3a-c416-4b9c-a6bb-4b453ab1c1f0","CN=4aaabc3a-c416-4b9c-a6bb-4b453ab1c1f0,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","9738c400-7795-4d6e-b19d-c16cd6486166","CN=9738c400-7795-4d6e-b19d-c16cd6486166,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","de10d491-909f-4fb0-9abb-4b7865c0fe80","CN=de10d491-909f-4fb0-9abb-4b7865c0fe80,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","b96ed344-545a-4172-aa0c-68118202f125","CN=b96ed344-545a-4172-aa0c-68118202f125,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","4c93ad42-178a-4275-8600-16811d28f3aa","CN=4c93ad42-178a-4275-8600-16811d28f3aa,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","c88227bc-fcca-4b58-8d8a-cd3d64528a02","CN=c88227bc-fcca-4b58-8d8a-cd3d64528a02,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","5e1574f6-55df-493e-a671-aaeffca6a100","CN=5e1574f6-55df-493e-a671-aaeffca6a100,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","d262aae8-41f7-48ed-9f35-56bbb677573d","CN=d262aae8-41f7-48ed-9f35-56bbb677573d,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","82112ba0-7e4c-4a44-89d9-d46c9612bf91","CN=82112ba0-7e4c-4a44-89d9-d46c9612bf91,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","c3c927a6-cc1d-47c0-966b-be8f9b63d991","CN=c3c927a6-cc1d-47c0-966b-be8f9b63d991,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","54afcfb9-637a-4251-9f47-4d50e7021211","CN=54afcfb9-637a-4251-9f47-4d50e7021211,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","f4728883-84dd-483c-9897-274f2ebcf11e","CN=f4728883-84dd-483c-9897-274f2ebcf11e,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","ff4f9d27-7157-4cb0-80a9-5d6f2b14c8ff","CN=ff4f9d27-7157-4cb0-80a9-5d6f2b14c8ff,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","83C53DA7-427E-47A4-A07A-A324598B88F7","CN=83C53DA7-427E-47A4-A07A-A324598B88F7,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","C81FC9CC-0130-4FD1-B272-634D74818133","CN=C81FC9CC-0130-4FD1-B272-634D74818133,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","E5F9E791-D96D-4FC9-93C9-D53E1DC439BA","CN=E5F9E791-D96D-4FC9-93C9-D53E1DC439BA,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","e6d5fd00-385d-4e65-b02d-9da3493ed850","CN=e6d5fd00-385d-4e65-b02d-9da3493ed850,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","3a6b3fbf-3168-4312-a10d-dd5b3393952d","CN=3a6b3fbf-3168-4312-a10d-dd5b3393952d,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","7F950403-0AB3-47F9-9730-5D7B0269F9BD","CN=7F950403-0AB3-47F9-9730-5D7B0269F9BD,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","434bb40d-dbc9-4fe7-81d4-d57229f7b080","CN=434bb40d-dbc9-4fe7-81d4-d57229f7b080,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","A0C238BA-9E30-4EE6-80A6-43F731E9A5CD","CN=A0C238BA-9E30-4EE6-80A6-43F731E9A5CD,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","Windows2003Update","CN=Windows2003Update,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"container","ActiveDirectoryUpdate","CN=ActiveDirectoryUpdate,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
,,"CN=Password Settings Container,CN=System,DC=javier,DC=cereceda"
"msImaging-PSPs","PSPs","CN=PSPs,CN=System,DC=javier,DC=cereceda"
,,"CN=TPM Devices,DC=javier,DC=cereceda"
"user","Administrador","CN=Administrador,CN=Users,DC=javier,DC=cereceda"
"user","Invitado","CN=Invitado,CN=Users,DC=javier,DC=cereceda"
"builtinDomain","Builtin","CN=Builtin,DC=javier,DC=cereceda"
"group","Administradores","CN=Administradores,CN=Builtin,DC=javier,DC=cereceda"
"group","Usuarios","CN=Usuarios,CN=Builtin,DC=javier,DC=cereceda"
"foreignSecurityPrincipal","S-1-5-4","CN=S-1-5-4,CN=ForeignSecurityPrincipals,DC=javier,DC=cereceda"
"foreignSecurityPrincipal","S-1-5-11","CN=S-1-5-11,CN=ForeignSecurityPrincipals,DC=javier,DC=cereceda"
"group","Invitados","CN=Invitados,CN=Builtin,DC=javier,DC=cereceda"
"group","Opers. de impresi?n","CN=Opers. de impresi?n,CN=Builtin,DC=javier,DC=cereceda"
"group","Operadores de copia de seguridad","CN=Operadores de copia de seguridad,CN=Builtin,DC=javier,DC=cereceda"
"group","Duplicadores","CN=Duplicadores,CN=Builtin,DC=javier,DC=cereceda"
"group","Usuarios de escritorio remoto","CN=Usuarios de escritorio remoto,CN=Builtin,DC=javier,DC=cereceda"
